siteIDPartRs,datePartRs,bandNumberPartRs,typePartRs,notesPartRs
MADJDAVPA1,2017-11-07,1781-50465,P,noData
MADJDAVPA1,2017-11-06,1781-50465,P,noData
GALVLIBPA2,2017-11-06,4501-87598,N,noData
GALVLIBPA2,2017-11-05,4501-87597,N,noData
MADJDAVPA1,2017-11-05,1781-50465,P,noData
SACHLARPA1,2017-11-02,2750-63975,P,noData
SACHLARPA1,2017-11-02,1781-50441,P,noData
SACHLARPA1,2017-10-31,2711-77401,P,noData
SACHLARPA1,2017-10-31,2711-77401,P,"Sunny, 39 f. 8:35 am.  Banded 5-24-15"
SACHLARPA1,2017-08-03,2711-77401,P,"""Band # 2711-77401  Banded 5-24-2015"""
MADJDAVPA1,2017-10-22,2741-54818,P,noData
MADJDAVPA1,2017-10-22,2661-08096,P,noData
SACHLARPA1,2017-08-03,1781-50442,P,"""Female  Band #1781-50442  Banded 5-24-2015"""
MADJDAVPA1,2017-11-01,1781-50466,P,noData
MADJDAVPA1,2017-10-31,2661-08096,P,noData
SACHLARPA1,2017-08-06,2711-77401,P,"""Band # 2711-77401  Banded 5-24-2015"""
SACHLARPA1,2017-08-27,1781-50442,P,noData
SACHLARPA1,2017-10-16,2711-77401,P,Band # 2711-77401
DEPHKATPA1,2017-10-26,2840-18506,P,noData
SACHLARPA1,2017-10-16,2750-63975,P,This bird was NOT banded in my yard.
MADJDAVPA1,2017-10-16,2661-08096,P,noData
PHILJIMPA1,2017-10-29,2651-51727,P,noData
MADJDAVPA1,2017-10-03,2661-08096,P,noData
BARTTARPA1,2017-10-26,2750-64149,P,noData
BARTTARPA1,2017-10-26,2641-64059,P,noData
MADJDAVPA1,2017-10-25,2661-08096,P,noData
KARMALYPA3,2017-09-12,2711-57673,P,noData
GERHEUNPA1,2017-10-15,2701-39448,P,noData
KARMALYPA3,2017-08-06,2711-57673,P,noData
GERHEUNPA1,2017-10-25,2741-54788,P,noData
KARMALYPA3,2017-07-31,2711-57673,P,noData
KARMALYPA3,2017-07-10,2701-39481,P,noData
KARMALYPA3,2017-07-31,2711-57669,P,noData
BEALTOMMD1,2017-01-03,2421-11549,P,noData
SWALDAWGA1,2018-01-03,2710-25731,P,noData
MADJDAVPA1,2018-01-03,2661-08096,P,noData
BEALTOMMD1,2017-11-07,2771-42012,P,noData
RALSJIMPA1,2017-12-25,2661-08068,P,noData
RALSJIMPA1,2017-10-12,2661-08068,P,noData
RALSJIMPA1,2017-10-12,2711-77451,P,noData
RALSJIMPA1,2017-09-08,2711-77451,P,noData
RALSJIMPA1,2017-12-28,4501-87559,P,noData
GALVLIBPA2,2017-11-07,2421-04337,P,Looking super good!
RALSJIMPA1,2017-11-30,4501-87559,P,noData
RALSJIMPA1,2017-10-18,4501-87559,P,noData
COMAPATPA1,2017-07-20,2711-77895,P,noData
RALSJIMPA1,2017-12-28,2711-57677,P,noData
RALSJIMPA1,2017-11-30,2711-57677,P,noData
MADJDAVPA1,2017-11-09,1781-50465,P,noData
MADJDAVPA1,2017-11-09,2741-54817,P,noData
KIMBMARGA1,2017-07-01,2701-39017,P,noData
RALSJIMPA1,2017-10-29,2711-57677,P,noData
RALSJIMPA1,2017-09-22,2711-57677,P,noData
RALSJIMPA1,2017-12-28,2711-57674,P,noData
RALSJIMPA1,2017-10-02,2711-57674,P,noData
KIMBMARGA1,2017-10-18,2711-54702,P,noData
RALSJIMPA1,2017-09-22,2711-57674,P,noData
RALSJIMPA1,2018-01-02,2711-57675,P,"This may be submitted twice, tried to submit and wouldn't take, left the sight and cam back in and trying again."
BEEGERLNC1,2017-11-02,2701-55835,P,noData
BEEGERLNC1,2017-11-02,2701-55835,P,"NOCA female 2701-55835 to feeder, almost every day, at least five other NOCA in yard for fall-winter. NOCA 2701-55835 is missing the pink band on the right leg, but has the pattern --BU/--A (blue left / aluminum right)"
CASEANNFL1,2017-10-24,2641-96738,P,noData
CASEANNFL1,2017-10-13,1352-46103,P,noData
CASEANNFL1,2017-10-01,2701-39159,P,noData
CASEANNFL1,2017-10-02,2331-09138,P,noData
CASEANNFL1,2017-10-13,2711-54384,P,noData
CASEANNFL1,2017-10-25,2711-54387,P,noData
CASEANNFL1,2017-10-24,2711-54383,P,noData
BEEGERLNC1,2018-01-01,2701-55835,P,"Female NOCA has blue on left, ONLY Aluminum on right leg. Feeding with three other NOCA (2 male, 1 other female), hot-pepper suet and safflower on deck railing, cold 15F"
CASEANNFL1,2017-10-24,2730-24960,P,noData
BEEGERLNC1,2018-01-01,1352-92507,P,"AMRO has only the aluminum band at this point. Feeding on hot-pepper suet on the deck railing, 1/1/18, along with at least two other AMRO. Cold 15F"
CASEANNFL1,2017-10-24,2730-24961,P,noData
WALTANNNC1,2017-07-11,851-39870,P,"Only the green band remains on the right leg, but there are no other NOCA that were banded in my yard with green on the right leg, so I have indicated the original colorband combination for this resight record, and will do so for subsequent resight data."
WALTANNNC1,2017-11-11,1352-92426,P,"It was so nice to see this bird return to my yard after being ""away"" for much of the summer."
KIMBMARGA1,2017-12-04,2750-41343,P,This bird has lost the use of its left leg!! This has happened since banding. Could the band be causing the problem??
BEALTOMMD1,2018-01-15,2651-47525,P,"Believe this is 2651-47525. Write on my form as Alum./Blue, Orange (2015)"
SACHLARPA1,2018-01-15,2711-77401,P,"21f, light snow, snow cover 4"""
RESIMARPA1,2017-11-11,2771-42101,P,noData
DICKSUSPA1,2017-01-18,1372-29403,P,Female seen in birdbath. Female from our summer nests.
RESIMARPA1,2018-01-07,2771-42101,P,noData
DICKSUSPA1,2017-08-17,1342-45506,P,Male that was banded in 2016 and seen this year with the banded female at summer nests. Seen in the birdbath.
MOSELYNNC1,2016-06-20,851-39867,P,At feeder.  Three male NOCA's were present at the same time.
MOSELYNNC1,2018-01-08,2701-55863,P,noData
MADJDAVPA1,2017-12-10,2741-54817,P,noData
MADJDAVPA1,2017-12-21,2741-54817,P,noData
SIMPEDWNC1,2017-12-13,2701-55841,P,noData
MADJDAVPA1,2017-12-13,2661-08096,P,noData
MADJDAVPA1,2017-12-14,2661-08096,P,noData
THERLARMA1,2016-07-13,1212-27621,P,noData
THERLARMA1,2016-08-22,2780-14642,P,noData
THERLARMA1,2016-09-01,2780-14643,P,noData
THERLARMA1,2016-09-21,2780-14642,P,noData
THERLARMA1,2017-04-11,1212-27621,P,Captured at water feature with motion camera
THERLARMA1,2017-04-18,1212-27622,P,noData
THERLARMA1,2017-04-18,2780-14644,P,noData
THERLARMA1,2017-04-23,2780-14643,P,noData
THERLARMA1,2017-05-13,2651-43256,P,Back for a third summer!
THERLARMA1,2017-07-10,1212-27621,P,noData
THERLARMA1,2017-07-10,1212-27658,P,noData
THERLARMA1,2017-07-10,1232-45275,P,GPS tag appears to be hanging in there.
THERLARMA1,2017-08-02,1212-27621,P,noData
THERLARMA1,2017-08-02,1212-27658,P,noData
THERLARMA1,2017-09-10,2780-93399,P,captured on motion camera
THERLARMA1,2017-09-20,2780-93398,P,noData
THERLARMA1,2018-01-14,2780-14642,P,noData
FERKHOLPA1,2016-07-25,2750-63912,P,noData
FERKHOLPA1,2016-08-08,1781-50444,P,noData
FERKHOLPA1,2016-08-21,1781-50445,P,noData
FERKHOLPA1,2016-09-02,1781-50445,P,noData
FERKHOLPA1,2016-09-17,1781-50446,P,noData
FERKHOLPA1,2016-09-19,2750-63913,P,noData
FERKHOLPA1,2016-09-19,2750-63914,P,noData
FERKHOLPA1,2016-10-01,1781-50445,P,noData
FERKHOLPA1,2016-10-01,2750-63914,P,noData
FERKHOLPA1,2016-10-07,2651-56428,P,noData
FERKHOLPA1,2016-10-09,2750-63913,P,noData
FERKHOLPA1,2016-11-04,2750-63912,P,noData
FERKHOLPA1,2016-11-11,2741-54703,P,noData
FERKHOLPA1,2016-11-11,2750-63914,P,noData
FERKHOLPA1,2016-11-12,2641-96614,P,noData
FERKHOLPA1,2016-11-12,2750-63913,P,noData
FERKHOLPA1,2016-11-16,1781-50445,P,noData
FERKHOLPA1,2016-11-16,2651-56428,P,noData
FERKHOLPA1,2016-11-22,2661-08029,P,noData
FERKHOLPA1,2016-12-06,2750-63912,P,noData
FERKHOLPA1,2016-12-12,2641-96614,P,noData
FERKHOLPA1,2016-12-13,2651-56428,P,noData
FERKHOLPA1,2016-12-14,2661-08029,P,noData
FERKHOLPA1,2016-12-16,2750-63913,P,noData
FERKHOLPA1,2017-01-16,1781-50445,P,noData
FERKHOLPA1,2017-01-16,2750-63913,P,noData
FERKHOLPA1,2017-01-26,1781-50445,P,noData
FERKHOLPA1,2017-01-26,2750-63914,P,noData
FERKHOLPA1,2017-02-03,2750-63913,P,noData
FERKHOLPA1,2017-02-03,2750-63914,P,noData
FERKHOLPA1,2017-02-08,2651-56428,P,noData
FERKHOLPA1,2017-02-14,1781-50444,P,noData
FERKHOLPA1,2017-02-17,1781-50445,P,noData
FERKHOLPA1,2017-02-21,1781-50446,P,noData
FERKHOLPA1,2017-02-21,2661-08029,P,noData
FERKHOLPA1,2017-02-26,2641-96614,P,noData
WILDANNVA1,2011-05-20,2421-11406,P,"yearColumn = 2010, banded 6/7/10; yearColumn = 2011, resighted by participant 20 May; yearColumn = 2014, resighted by participant"
WILDANNVA1,2014-03-15,2421-11406,P,"yearColumn = 2010, banded 6/7/10; yearColumn = 2011, resighted by participant 20 May; yearColumn = 2014, resighted by participant"
WILLTERMD1,2012-03-19,1232-87911,P,"yearColumn = 2008, banded 6/5; yearColumn = 2012, Resight by participant 3/19/2012; yearColumn = 2013, Resight by participant on September 28"
WILLTERMD1,2013-09-28,1232-87911,P,"yearColumn = 2008, banded 6/5; yearColumn = 2012, Resight by participant 3/19/2012; yearColumn = 2013, Resight by participant on September 28"
WINTCHAFL1,2016-02-13,2710-54207,P,"Entered by Bob Reitsma after receiving resight report from citizen 1.8 mi. from banding sight. 2041 NE 15th Terrace, Gainesville. Email message 2/13/2016."
WOLFMELPA1,2017-06-12,2840-18508,P,This wren also has built a nest in a butterfly house I had hanging on a post.  I see him on a daily basis going in and out of the house.
WOODPAUVA1,2003-05-13,8001-21318,P,"yearColumn = 2001, banded 10 July; yearColumn = 2002, resighted 24 April; yearColumn = 2003, resighted by participant 13 May"
WOODPAUVA1,2006-04-26,1801-77844,P,"yearColumn = 2003, banded 16 July; yearColumn = 2004, recaptured 26 June; yearColumn = 2006, resighted by participant 26 april, 1 May, 29 august; yearColumn = 2008, resighted by participant 4 September"
WOODPAUVA1,2006-05-01,1801-77844,P,"yearColumn = 2003, banded 16 July; yearColumn = 2004, recaptured 26 June; yearColumn = 2006, resighted by participant 26 april, 1 May, 29 august; yearColumn = 2008, resighted by participant 4 September"
WOODPAUVA1,2006-08-29,1801-77844,P,"yearColumn = 2003, banded 16 July; yearColumn = 2004, recaptured 26 June; yearColumn = 2006, resighted by participant 26 april, 1 May, 29 august; yearColumn = 2008, resighted by participant 4 September"
WOODPAUVA1,2008-09-04,1801-77844,P,"yearColumn = 2003, banded 16 July; yearColumn = 2004, recaptured 26 June; yearColumn = 2006, resighted by participant 26 april, 1 May, 29 august; yearColumn = 2008, resighted by participant 4 September"
WOODPAUVA1,2009-03-10,2301-08219,P,"yearColumn = 2007, banded by participant 1/2007; yearColumn = 2008, recaptured by NNW 7/1/2008; yearColumn = 2009, resighted by participant 10,25 March; 20 May; yearColumn = 2010, resighted by participant 27 March; 7 June"
WOODPAUVA1,2009-03-25,2301-08219,P,"yearColumn = 2007, banded by participant 1/2007; yearColumn = 2008, recaptured by NNW 7/1/2008; yearColumn = 2009, resighted by participant 10,25 March; 20 May; yearColumn = 2010, resighted by participant 27 March; 7 June"
WOODPAUVA1,2009-05-10,841-76332,P,"yearColumn = 2007, banded by participant; yearColumn = 2008, recaptured 7/1/2008; yearColumn = 2009, resighted by participant 10 May"
WOODPAUVA1,2009-06-05,2490-86325,P,"yearColumn = 2008, banded by participant, rebanded; yearColumn = 2009, resighted by participant 5 June; yearColumn = 2010, resighted by participant 26 March; found dead by participant 7 Oct."
WOODPAUVA1,2009-08-31,2301-08226,P,"yearColumn = 2007, banded as SY by participant 1/12/2007; yearColumn = 2008, recaptured by NNW 7/1/2008; yearColumn = 2009, resighted by participant 31 August"
WOODPAUVA1,2010-03-26,2490-86325,P,"yearColumn = 2008, banded by participant, rebanded; yearColumn = 2009, resighted by participant 5 June; yearColumn = 2010, resighted by participant 26 March; found dead by participant 7 Oct."
WOODPAUVA1,2010-03-27,2301-08219,P,"yearColumn = 2007, banded by participant 1/2007; yearColumn = 2008, recaptured by NNW 7/1/2008; yearColumn = 2009, resighted by participant 10,25 March; 20 May; yearColumn = 2010, resighted by participant 27 March; 7 June"
WOODPAUVA1,2010-06-07,2301-08219,P,"yearColumn = 2007, banded by participant 1/2007; yearColumn = 2008, recaptured by NNW 7/1/2008; yearColumn = 2009, resighted by participant 10,25 March; 20 May; yearColumn = 2010, resighted by participant 27 March; 7 June"
WOODPAUVA1,2010-10-07,2490-86325,P,"yearColumn = 2008, banded by participant, rebanded; yearColumn = 2009, resighted by participant 5 June; yearColumn = 2010, resighted by participant 26 March; found dead by participant 7 Oct."
WOODPAUVA1,2011-01-24,841-76358,P,"yearColumn = 2007, aluminum banded by woodward as HY.; yearColumn = 2009, color banded 5/19/2009.; yearColumn = 2010, resighted by participants 24 March; 31 Dec; recapped by participant with brood patch 3 July; yearColumn = 2011, resighted by participant 24 Jan, 17 May, Oct. 13"
WOODPAUVA1,2011-04-02,2590-83161,P,"yearColumn = 2010, banded 6/30/10; resighted by participant October-Dec; yearColumn = 2011, resighted by participant 4/2//2011"
WOODPAUVA1,2011-05-13,2301-76336,P,"yearColumn = 2009, banded by participant 5/09; yearColumn = 2010,  colorbanded 6/30/10; yearColumn = 2011, resighted by participant 5/13/2011; 7-25-11; yearColumn = 2015, resighted by participant"
WOODPAUVA1,2011-05-17,841-76358,P,"yearColumn = 2007, aluminum banded by woodward as HY.; yearColumn = 2009, color banded 5/19/2009.; yearColumn = 2010, resighted by participants 24 March; 31 Dec; recapped by participant with brood patch 3 July; yearColumn = 2011, resighted by participant 24 Jan, 17 May, Oct. 13"
WOODPAUVA1,2011-07-25,2301-76336,P,"yearColumn = 2009, banded by participant 5/09; yearColumn = 2010,  colorbanded 6/30/10; yearColumn = 2011, resighted by participant 5/13/2011; 7-25-11; yearColumn = 2015, resighted by participant"
WOODPAUVA1,2011-09-27,1931-74812,P,"yearColumn = 2007, badned by participant 6/17/2007; yearColumn = 2008, recaptured by NNW 7/1/2008; yearColumn = 2009, resighted by particpant 10 March; yearColumn = 2010, resighted by participant 3 March, 28 Dec; resighted by NN 6/30/10; ; yearColumn = 2011, resighted by participant 2 June; 27 Sept.; yearColumn = 2012, resighted 29 April; by participant 1 June, 08/16/2012; yearColumn = 2013, resighted by participant 1 May"
WOODPAUVA1,2011-10-13,841-76358,P,"yearColumn = 2007, aluminum banded by woodward as HY.; yearColumn = 2009, color banded 5/19/2009.; yearColumn = 2010, resighted by participants 24 March; 31 Dec; recapped by participant with brood patch 3 July; yearColumn = 2011, resighted by participant 24 Jan, 17 May, Oct. 13"
WOODPAUVA1,2012-06-01,1931-74812,P,"yearColumn = 2007, badned by participant 6/17/2007; yearColumn = 2008, recaptured by NNW 7/1/2008; yearColumn = 2009, resighted by particpant 10 March; yearColumn = 2010, resighted by participant 3 March, 28 Dec; resighted by NN 6/30/10; ; yearColumn = 2011, resighted by participant 2 June; 27 Sept.; yearColumn = 2012, resighted 29 April; by participant 1 June, 08/16/2012; yearColumn = 2013, resighted by participant 1 May"
WOODPAUVA1,2012-08-16,1931-74812,P,"yearColumn = 2007, badned by participant 6/17/2007; yearColumn = 2008, recaptured by NNW 7/1/2008; yearColumn = 2009, resighted by particpant 10 March; yearColumn = 2010, resighted by participant 3 March, 28 Dec; resighted by NN 6/30/10; ; yearColumn = 2011, resighted by participant 2 June; 27 Sept.; yearColumn = 2012, resighted 29 April; by participant 1 June, 08/16/2012; yearColumn = 2013, resighted by participant 1 May"
WOODPAUVA1,2013-05-01,1931-74812,P,"yearColumn = 2007, badned by participant 6/17/2007; yearColumn = 2008, recaptured by NNW 7/1/2008; yearColumn = 2009, resighted by particpant 10 March; yearColumn = 2010, resighted by participant 3 March, 28 Dec; resighted by NN 6/30/10; ; yearColumn = 2011, resighted by participant 2 June; 27 Sept.; yearColumn = 2012, resighted 29 April; by participant 1 June, 08/16/2012; yearColumn = 2013, resighted by participant 1 May"
WOODPAUVA1,2015-03-15,2301-76336,P,"yearColumn = 2009, banded by participant 5/09; yearColumn = 2010,  colorbanded 6/30/10; yearColumn = 2011, resighted by participant 5/13/2011; 7-25-11; yearColumn = 2015, resighted by participant"
YOUNELIMD1,2009-03-15,2301-56589,P,"yearColumn = 2008, Banded June 3; yearColumn = 2009, resighted by participant in 2009; yearColumn = 2010, resighted 6/17/2010"
AKREMICMA1,2014-01-25,2691-06138,P,noData
AKREMICMA1,2014-08-09,2641-85659,P,noData
AKREMICMA1,2014-08-09,2691-06136,P,noData
AKREMICMA1,2014-08-09,2691-06139,P,noData
AKREMICMA1,2014-08-10,2691-06140,P,noData
AKREMICMA1,2015-04-22,2720-99540,N,noData
ANDEBRUPA1,2014-07-11,2641-97072,P,noData
ANDEBRUPA1,2014-07-11,2641-97075,P,noData
ANDEBRUPA1,2014-07-11,2641-97078,P,noData
ANDEBRUPA1,2014-07-13,2661-08056,P,noData
ANDEBRUPA1,2014-07-14,2661-08057,P,noData
ANDEBRUPA1,2014-07-14,2730-26363,P,noData
ANDEBRUPA1,2014-07-17,2730-26366,P,noData
ANDEBRUPA1,2014-07-27,2641-97074,P,noData
ANDEBRUPA1,2014-08-03,2641-97077,P,noData
ANDEBRUPA1,2014-08-22,2661-08059,P,noData
ANDEBRUPA1,2014-09-14,2641-97076,P,noData
ANDEBRUPA1,2014-09-14,2661-08057,P,noData
ANDEBRUPA1,2014-09-14,2730-26363,P,noData
ANDEBRUPA1,2014-09-14,2730-26364,P,noData
ANDEBRUPA1,2014-09-30,2730-26365,P,noData
ANDEBRUPA1,2014-11-24,2661-08058,P,noData
ANDEBRUPA1,2014-12-19,2730-26363,P,noData
ANDEBRUPA1,2014-12-19,2730-26365,P,noData
ANDEBRUPA1,2014-12-19,2730-26366,P,noData
ANDEBRUPA1,2014-12-25,2641-97076,P,noData
ANDEBRUPA1,2015-02-16,2641-97072,P,noData
ANDEBRUPA1,2015-02-21,2641-97076,P,noData
ANDEBRUPA1,2015-02-21,2641-97078,P,noData
ANDEBRUPA1,2015-07-05,2661-08058,P,noData
ANDEBRUPA1,2015-07-15,2661-08060,P,noData
ANDEBRUPA1,2015-09-20,2730-26364,P,noData
ANDEBRUPA1,2015-09-20,2730-26365,P,noData
ANDEBRUPA1,2015-09-22,2651-56521,P,noData
ANDEBRUPA1,2015-09-27,2730-26366,P,noData
ANDEBRUPA1,2016-03-25,2641-97072,P,noData
ANDEBRUPA1,2016-04-17,2661-08060,P,noData
ANDEBRUPA1,2016-09-25,2750-45330,P,not banded at this site
ANDEBRUPA1,2017-01-29,2750-45330,P,not banded at this site
ANDEBRUPA1,2017-01-29,2750-64013,P,noData
ANDEBRUPA1,2017-02-05,2730-26364,P,noData
ANDEHALMA1,2015-04-22,2720-99540,N,noData
ANDEHALMA1,2017-07-26,2651-43448,D,noData
ARCADIAMA1,2015-11-07,2571-83145,P,noData
ARCADIAMA1,2015-12-17,2651-17190,P,noData
ARCADIAMA1,2016-03-21,2291-44239,P,Resighted by Theresa Gessing
ARCADIAMA1,2016-05-01,2291-44239,P,"Spotted near the solar panels at Arcadia, in an apple tree with another SOSP."
ARNDKARPA1,2017-07-09,2750-64054,N,"data from BBL report July 9,2017"
ASSMCARMD1,2008-02-28,1991-46166,P,"yearColumn = 2007, banded 27 july; yearColumn = 2008, resighted by participant 28 Feb, Recaptured July 21; yearColumn = 2010, resighted 6/14/2010; missing P band"
ASSMCARMD1,2012-05-08,2421-11728,P,"yearColumn = 2010, banded 6/14/2010; yearColumn = 2012, resighted 8 May, 17 July by participant"
ASSMCARMD1,2012-07-17,2421-11728,P,"yearColumn = 2010, banded 6/14/2010; yearColumn = 2012, resighted 8 May, 17 July by participant"
ASTOLAUGA1,2015-06-03,2711-54832,P,noData; feeding on the ground
ASTOLAUGA1,2015-07-31,2711-54832,P,noData; Usually see them on the ground but this is the first time I've spotted a banded song sparrow on my high deck going to the feeder
ASTOLAUGA1,2016-04-17,2711-54832,P,It has been almost a year since I have seen this guy
ASTOLAUGA1,2016-06-08,2711-54832,P,So exciting this is my bird that was banded in 2015
ASTOLAUGA1,2016-07-29,2711-54832,P,"this was one of our birds from 2015 :)
"
ASTOLAUGA1,2016-07-31,2711-54832,P,noData
ASTOLAUGA1,2016-09-27,2711-57720,P,noData
ASTOLAUGA1,2016-12-05,2711-57723,P,noData
ASTOLAUGA1,2017-01-26,2711-57720,P,noData
ASTOLAUGA1,2017-04-20,2651-52441,P,noData
ASTOLAUGA1,2017-04-27,1372-29601,P,noData
ASTOLAUGA1,2017-04-27,2651-52441,P,originally banded in 2016
ASTOLAUGA1,2017-05-05,2651-52441,P,noData
ASTOLAUGA1,2017-05-06,1372-29601,P,noData
ASTOLAUGA1,2017-05-06,2750-41329,P,noData
ASTOLAUGA1,2017-05-29,2750-41329,P,noData
ATHEJIMMA1,2013-12-09,2371-04333,P,noData
ATHEJIMMA1,2017-05-04,2651-43456,P,noData
AZARCARPA1,2013-07-26,2641-64046,P,noData
AZARCARPA1,2013-08-27,2661-31442,P,noData
AZARCARPA1,2013-09-10,2661-31442,P,noData
AZARCARPA1,2013-11-19,2661-31442,P,noData
AZARCARPA1,2013-12-24,2641-64046,P,noData
AZARCARPA1,2014-01-24,2661-31442,P,noData
AZARCARPA1,2014-02-28,2661-31442,P,noData
AZARCARPA1,2014-03-16,2661-31442,P,noData
AZARCARPA1,2014-04-18,2661-31442,P,noData
AZARCARPA1,2014-05-16,2661-31442,P,noData
AZARCARPA1,2014-06-10,2541-40560,P,noData
AZARCARPA1,2014-06-10,2541-40561,P,noData
AZARCARPA1,2014-06-10,2641-97046,P,noData
AZARCARPA1,2014-06-10,2661-31442,P,noData
AZARCARPA1,2014-07-01,1232-87977,P,noData
AZARCARPA1,2014-07-15,2661-31442,P,noData
AZARCARPA1,2014-08-28,2661-31442,P,noData
AZARCARPA1,2014-09-10,2661-31442,P,noData
AZARCARPA1,2014-10-15,2661-31442,P,noData
AZARCARPA1,2014-10-20,2641-97046,P,noData
AZARCARPA1,2014-11-05,2541-40560,P,noData
AZARCARPA1,2015-01-12,2541-40560,P,noData
AZARCARPA1,2015-02-05,2541-40560,P,noData
AZARCARPA1,2015-04-12,2541-40560,P,noData
AZARCARPA1,2015-04-19,2661-31442,P,noData
AZARCARPA1,2015-05-20,2661-31442,P,noData
AZARCARPA1,2015-05-24,1342-74108,P,noData
AZARCARPA1,2015-06-02,2711-77213,P,noData
AZARCARPA1,2015-06-03,2750-64007,P,noData
AZARCARPA1,2015-06-05,2711-77211,P,noData
AZARCARPA1,2015-06-11,2750-64008,P,noData
AZARCARPA1,2015-06-20,2541-40560,P,noData
AZARCARPA1,2015-06-20,2661-31442,P,noData
AZARCARPA1,2015-06-22,1342-74108,P,noData
AZARCARPA1,2015-07-08,2541-40560,P,noData
AZARCARPA1,2015-07-27,1342-74108,P,noData
AZARCARPA1,2015-07-27,2661-31442,P,noData
AZARCARPA1,2015-07-31,2750-64008,P,noData
AZARCARPA1,2015-08-02,2541-40560,P,noData
AZARCARPA1,2015-08-02,2711-77208,P,noData
AZARCARPA1,2015-08-04,2711-77212,P,noData
AZARCARPA1,2015-08-06,2750-64008,P,noData
AZARCARPA1,2015-09-17,2661-31442,P,noData
AZARCARPA1,2015-10-01,2641-64046,P,noData
AZARCARPA1,2015-10-02,2750-64007,P,noData
AZARCARPA1,2015-10-20,2541-40560,P,noData
AZARCARPA1,2015-10-21,1342-74108,P,noData
AZARCARPA1,2015-10-31,2661-31442,P,noData
AZARCARPA1,2015-11-18,2541-40560,P,noData
AZARCARPA1,2015-12-05,2750-64007,P,"This resighting  occurred in Frick Park, a wooded park near my house.  I spotted this chickadee when I was on a walk, about 3/4 mile from my house/the site of this bird's original banding.  It was on the edge of a clearing in the woods, in the middle of the Nine Mile Run watershed."
AZARCARPA1,2015-12-10,2641-64046,P,noData
AZARCARPA1,2015-12-20,2711-77214,P,noData
AZARCARPA1,2015-12-24,2541-40560,P,noData
AZARCARPA1,2015-12-24,2661-31442,P,noData
AZARCARPA1,2016-01-05,2661-31442,P,noData
AZARCARPA1,2016-01-21,2641-64046,P,noData
AZARCARPA1,2016-03-01,2541-40560,P,noData
AZARCARPA1,2016-03-01,2641-64046,P,noData
AZARCARPA1,2016-03-01,2661-31442,P,noData
AZARCARPA1,2016-03-07,2711-77214,P,noData
AZARCARPA1,2016-03-09,2711-77208,P,noData
AZARCARPA1,2016-03-12,2711-77207,P,noData
AZARCARPA1,2016-03-22,1342-74108,P,noData
AZARCARPA1,2016-03-30,2661-31442,P,noData
AZARCARPA1,2016-04-01,2661-31442,P,noData
AZARCARPA1,2016-04-03,1342-74107,P,noData
AZARCARPA1,2016-04-09,2541-40560,P,noData
AZARCARPA1,2016-04-14,2711-77211,P,noData
AZARCARPA1,2016-05-01,2661-31442,P,noData
AZARCARPA1,2016-05-11,1342-74107,P,This bird had a successful nest with two fledglings as of 5/11/16.
AZARCARPA1,2016-05-11,1342-74108,P,This bird had a successful nest with two fledglings as of 5/11/16.
AZARCARPA1,2016-05-14,1342-74108,P,noData
AZARCARPA1,2016-06-12,1342-74107,P,noData
AZARCARPA1,2016-06-13,2711-77208,P,noData
AZARCARPA1,2016-06-14,1342-74107,P,noData
AZARCARPA1,2016-06-14,1342-74108,P,noData
AZARCARPA1,2016-06-14,2641-64046,P,noData
AZARCARPA1,2016-06-18,2541-40560,P,noData
AZARCARPA1,2016-06-18,2661-31442,P,noData
AZARCARPA1,2016-07-11,2711-77208,P,noData
AZARCARPA1,2016-07-22,1342-74108,P,noData
AZARCARPA1,2016-07-22,2541-40560,P,noData
AZARCARPA1,2016-07-22,2661-31442,P,noData
AZARCARPA1,2016-08-13,2711-77207,P,noData
AZARCARPA1,2016-08-29,2711-77214,P,noData
AZARCARPA1,2016-10-03,2661-31442,P,noData
AZARCARPA1,2016-10-03,2711-77207,P,noData
AZARCARPA1,2016-11-13,2701-39409,P,This is the FEMALE.  I have a male that is identically banded.
AZARCARPA1,2016-11-17,2661-31442,P,noData
AZARCARPA1,2016-11-19,2641-64046,P,noData
AZARCARPA1,2016-11-26,2711-77208,P,noData
AZARCARPA1,2016-12-13,2711-77208,P,noData
AZARCARPA1,2016-12-15,2701-39409,P,This is the FEMALE.  (I have a male that is identically banded.)
AZARCARPA1,2017-01-01,2661-31442,P,noData
AZARCARPA1,2017-02-05,2711-77208,P,noData
AZARCARPA1,2017-02-11,2661-31442,P,noData
AZARCARPA1,2017-02-21,1342-45502,P,noData
AZARCARPA1,2017-02-26,2701-39409,P,This is the FEMALE.  (I have a male that is identically banded.)
AZARCARPA1,2017-03-06,1342-74108,P,noData
AZARCARPA1,2017-03-15,1342-45502,P,noData
AZARCARPA1,2017-03-27,1342-74107,P,noData
AZARCARPA1,2017-03-30,2711-77208,P,noData
AZARCARPA1,2017-04-23,2661-31442,P,noData
AZARCARPA1,2017-05-16,2661-31442,P,I saw this bird in my yard and he was feeding two song sparrow fledglings.  I have no idea where his nest was!!
AZARCARPA1,2017-06-02,2711-77208,P,noData
AZARCARPA1,2017-06-07,2661-31442,P,noData
AZARCARPA1,2017-06-17,2541-40560,P,noData
AZARCARPA1,2017-07-05,2701-39407,P,noData
AZARCARPA1,2017-07-08,2701-39407,P,noData
AZARCARPA1,2017-07-22,1342-74107,P,noData
